Quote, Company Name, CUSIP,Algorithm,Consensus, Consensus Price, Consensus Date, Previous Consensus, Previous Consensus Price, Previous Consensus Date,Avg. HPR (Long), Avg. HPR (Short), Std. Dev (Long), Std. Dev (Short), Current Price, Target Price, Target Met, Target Ex-Date, Window #, Window Accuracy (Long),Window Accuracy (Short), Number of Trades, Avg. Trade Duration (mos), Inception Date, Fund Ranking (YTD-1), Mkt Ranking, Peer #1 Quote, Peer #1 Name,Peer #1 YTD-1 Fund Ranking, Peer #1 Mkt Ranking, Peer #2 Quote, Peer #2 Name,Peer #2 YTD-1 Fund Ranking, Peer #2 Mkt Ranking
ENZN,ENZON PHARMACEUTICALS INC.,293904108,Momentum Analyzer V1.0,SHORT,$7.30 ,24-Aug-09,SHORT,$8.07 ,30-Mar-06,-50.41%,30.17%,182.42pp,100.17pp,$4.43 ,$5.10 ,Y,4-Mar-12,15,0.00%,100.00%,5,31,31-Aug-00,2.47,4.16,ROCHE HOLDING LTD. (ADR),RHHBY,3.08,4.18,AMGEN INC.,AMGN,3.04,2.48
EOG,EOG RESOURCES INC.,26875P101,Trend Analyzer V3.1,BUY,$51.84 ,5-Mar-09,HOLD,$48.21 ,18-Mar-05,266.67%,4.35%,147.07pp,112.85pp,$122.77 ,$190.08 ,N,28-Jan-12,10,100.00%,50.00%,5,35,4-Nov-98,2.94,1.67,DEVON ENERGY CORPORATION,DVN,3.09,4.01,EOG RESOURCES INC.,EOG,2.94,1.67
EOG,EOG RESOURCES INC.,26875P101,Momentum Analyzer V1.0,BUY,$60.35 ,7-Jul-05,HOLD,$8.56 ,11-Aug-00,151.03%,-100.00%,100.00pp,NaNpp,$122.77 ,$151.49 ,N,17-Jul-09,20,100.00%,50.00%,4,49,8-Apr-97,2.94,1.67,DEVON ENERGY CORPORATION,DVN,3.09,4.01,EOG RESOURCES INC.,EOG,2.94,1.67
EPAX,AMBASSADORS GROUP INC.,23177108,Trend Analyzer V3.1,BUY,$5.44 ,29-Jun-12,SHORT,$10.87 ,12-May-09,-3.51%,0.49%,355.50pp,136.47pp,$4.79 ,$5.25 ,N,8-Nov-13,5,66.67%,66.67%,6,17,3-Jan-05,3.1,3.56,AMBASSADORS GROUP INC.,EPAX,3.1,3.56,LIFEAPPS DIGITAL MEDIA INC,LFAP,2.76,1.91
EPAX,AMBASSADORS GROUP INC.,23177108,Momentum Analyzer V1.0,BUY,$4.52 ,17-Dec-12,SHORT,$39.00 ,9-Oct-07,453.98%,13.94%,100.00pp,165.36pp,$4.79 ,$25.04 ,N,2-Mar-15,10,50.00%,0.00%,4,27,17-May-04,3.1,3.56,AMBASSADORS GROUP INC.,EPAX,3.1,3.56,LIFEAPPS DIGITAL MEDIA INC,LFAP,2.76,1.91
EPAY,BOTTOMLINE TECHNOLOGIES,101388106,Trend Analyzer V3.1,SHORT,$14.15 ,24-Dec-07,BUY,$9.71 ,23-May-06,45.73%,-42.79%,100.00pp,100.00pp,$26.01 ,$20.21 ,N,2-Aug-11,10,100.00%,0.00%,3,44,4-Jun-02,-1,-1,ADOBE SYSTEMS INCORPORATED,ADBE,3.2,2.68,ORACLE CORPORATION,ORCL,3.03,2.33
EPAY,BOTTOMLINE TECHNOLOGIES,101388106,Momentum Analyzer V1.0,SHORT,$13.46 ,9-Jul-10,BUY,$6.06 ,16-Jan-09,24.10%,-3.59%,158.52pp,139.35pp,$26.01 ,$13.94 ,N,31-Jan-12,10,66.67%,33.33%,6,19,30-Oct-03,-1,-1,ADOBE SYSTEMS INCORPORATED,ADBE,3.2,2.68,ORACLE CORPORATION,ORCL,3.03,2.33
EPD,ENTERPRISE PRODUCTS PARTNERS L.P.,293792107,Trend Analyzer V3.1,SHORT,$49.72 ,7-Dec-12,BUY,$29.49 ,16-Oct-09,80.85%,-50.94%,127.08pp,211.49pp,$50.05 ,$75.05 ,Y,9-Feb-15,10,100.00%,33.33%,6,26,7-Apr-00,2.18,2.73,COPANO ENERGY L.L.C.,CPNO,2.63,3.25,DCP MIDSTREAM PARTNERS LP,DPM,2.58,2.88
EPD,ENTERPRISE PRODUCTS PARTNERS L.P.,293792107,Momentum Analyzer V1.0,SHORT,$51.15 ,15-Feb-12,BUY,$20.90 ,24-Sep-02,144.74%,-100.00%,100.00pp,NaNpp,$50.05 ,$102.30 ,Y,11-Jan-16,5,50.00%,0.00%,3,48,25-Jul-01,2.18,2.73,COPANO ENERGY L.L.C.,CPNO,2.63,3.25,DCP MIDSTREAM PARTNERS LP,DPM,2.58,2.88
EPL,EPL OIL & GAS INC,26883D108,Trend Analyzer V3.1,BUY,$17.11 ,16-Jul-12,HOLD,$11.35 ,28-Sep-11,30.06%,-100.00%,127.42pp,NaNpp,$22.70 ,$22.25 ,Y,27-Apr-14,10,66.67%,0.00%,6,22,25-Jul-02,2.19,2.51,CONTANGO OIL \X26 GAS COMPANY,MCF,2.85,3.06,STONE ENERGY CORPORATION,SGY,2.78,3.94
EPL,EPL OIL & GAS INC,26883D108,Momentum Analyzer V1.0,SHORT,$14.64 ,11-Mar-11,HOLD,$10.80 ,8-Mar-10,40.10%,5.38%,103.35pp,110.99pp,$22.70 ,$13.85 ,N,16-May-13,10,100.00%,33.33%,5,27,1-May-02,2.19,2.51,CONTANGO OIL \X26 GAS COMPANY,MCF,2.85,3.06,STONE ENERGY CORPORATION,SGY,2.78,3.94
EQIX,EQUINIX INC,29444U502,Trend Analyzer V3.1,SHORT,$82.00 ,6-Jan-11,HOLD,$72.10 ,19-Jun-09,46.91%,20.62%,129.17pp,161.58pp,$202.83 ,$65.09 ,N,13-Mar-13,10,100.00%,33.33%,5,27,2-May-02,2.6,1.31,GOOGLE INC,GOOG,3.77,1.68,EARTHLINK INC.,ELNK,3.05,4.21
EQIX,EQUINIX INC,29444U502,Momentum Analyzer V1.0,SHORT,$71.36 ,1-May-09,BUY,$66.53 ,19-Oct-06,7.26%,-100.00%,100.00pp,NaNpp,$202.83 ,$142.72 ,N,9-May-12,10,100.00%,0.00%,3,37,17-Feb-04,2.6,1.31,GOOGLE INC,GOOG,3.77,1.68,EARTHLINK INC.,ELNK,3.05,4.21
EQR,EQUITY RESIDENTIAL,29476L107,Trend Analyzer V3.1,SHORT,$50.48 ,20-Sep-10,BUY,$16.71 ,5-Mar-09,141.14%,-100.00%,125.28pp,NaNpp,$56.68 ,$100.96 ,Y,14-Aug-13,10,66.67%,0.00%,5,35,4-Nov-98,2.51,2.22,BRE PROPERTIES INC.,BRE,2.64,2.5,ESSEX PROPERTY TRUST INC,ESS,2.63,1.91
EQR,EQUITY RESIDENTIAL,29476L107,Momentum Analyzer V1.0,BUY,$52.89 ,28-Jan-11,HOLD,$28.35 ,4-Aug-03,129.00%,-65.06%,100.00pp,259.97pp,$56.68 ,$121.12 ,N,16-Jul-14,15,100.00%,0.00%,4,42,21-Jun-99,2.51,2.22,BRE PROPERTIES INC.,BRE,2.64,2.5,ESSEX PROPERTY TRUST INC,ESS,2.63,1.91
EQT,EQT CORPORATION,26884L109,Trend Analyzer V3.1,BUY,$51.12 ,7-Aug-07,HOLD,$36.94 ,18-Oct-06,117.85%,-75.42%,114.11pp,222.73pp,$59.22 ,$111.36 ,N,17-Nov-09,10,100.00%,0.00%,6,28,23-Aug-99,2.52,2.82,EXXON MOBIL CORPORATION,XOM,3.22,4.79,QUESTAR CORPORATION,STR,2.56,2.71
EQT,EQT CORPORATION,26884L109,Momentum Analyzer V1.0,SHORT,$63.04 ,14-Oct-11,BUY,$30.43 ,20-Feb-09,128.39%,-100.00%,238.03pp,NaNpp,$59.22 ,$126.08 ,Y,12-Aug-13,10,100.00%,50.00%,8,22,17-Sep-98,2.52,2.82,EXXON MOBIL CORPORATION,XOM,3.22,4.79,QUESTAR CORPORATION,STR,2.56,2.71
EQY,EQUITY ONE INC.,294752100,Trend Analyzer V3.1,SHORT,$20.91 ,24-Sep-12,BUY,$16.98 ,7-Dec-11,13.65%,-20.57%,122.23pp,172.99pp,$21.23 ,$25.21 ,Y,15-Mar-14,10,75.00%,60.00%,9,18,26-Jan-00,2.31,2.35,ONE LIBERTY PROPERTIES INC.,OLP,2.84,2.8,URSTADT BIDDLE PROPERTIES INC,UBA,2.83,2.94
EQY,EQUITY ONE INC.,294752100,Momentum Analyzer V1.0,SHORT,$16.60 ,8-Jan-10,BUY,$10.88 ,4-Mar-09,32.05%,-20.53%,118.10pp,194.67pp,$21.23 ,$20.01 ,N,19-Feb-12,5,100.00%,33.33%,6,26,16-Aug-00,2.31,2.35,ONE LIBERTY PROPERTIES INC.,OLP,2.84,2.8,URSTADT BIDDLE PROPERTIES INC,UBA,2.83,2.94
ERF,ENERPLUS CORP (USA),29274D604,Trend Analyzer V3.1,SHORT,$23.82 ,31-Jan-12,SHORT,$43.15 ,4-Mar-08,-44.80%,5.23%,100.00pp,100.00pp,$12.74 ,$22.57 ,Y,18-Jul-14,10,0.00%,100.00%,3,30,12-Oct-05,2.29,3.22,ENCANA CORPORATION (USA),ECA,2.89,2.84,CANADIAN NATURAL RESOURCE LTD (USA),CNQ,2.68,3.33
ERF,ENERPLUS CORP (USA),29274D604,Momentum Analyzer V1.0,SHORT,$23.41 ,2-Aug-10,BUY,$23.09 ,28-May-09,66.17%,19.66%,163.90pp,126.26pp,$12.74 ,$18.81 ,Y,15-Oct-12,5,33.33%,0.00%,5,27,27-Mar-02,2.29,3.22,ENCANA CORPORATION (USA),ECA,2.89,2.84,CANADIAN NATURAL RESOURCE LTD (USA),CNQ,2.68,3.33
ERIC,ERICSSON (ADR),294821608,Trend Analyzer V3.1,SHORT,$9.30 ,28-Dec-09,BUY,$6.54 ,5-Jun-08,-50.54%,-100.00%,287.53pp,NaNpp,$10.04 ,$18.60 ,Y,19-Nov-12,20,66.67%,50.00%,5,35,17-Nov-98,2.08,4.38,GOOGLE INC,GOOG,3.69,1.28,INTEL CORPORATION,INTC,3,4
ERIC,ERICSSON (ADR),294821608,Momentum Analyzer V1.0,SHORT,$11.04 ,4-Aug-11,SHORT,$11.71 ,20-Jul-10,-5.72%,55.39%,100.00pp,100.00pp,$10.04 ,$4.92 ,N,26-Aug-15,15,0.00%,100.00%,3,49,8-Feb-01,2.08,4.38,GOOGLE INC,GOOG,3.69,1.28,INTEL CORPORATION,INTC,3,4
ERIE,ERIE INDEMNITY COMPANY,29530P102,Trend Analyzer V3.1,SHORT,$38.04 ,14-Dec-09,SHORT,$51.86 ,21-May-08,18.71%,-4.81%,161.84pp,107.70pp,$67.87 ,$39.87 ,N,8-Nov-12,10,66.67%,50.00%,5,35,3-Nov-98,2.68,3.09,THE TRAVELERS COMPANIES INC.,TRV,2.75,3.21,ERIE INDEMNITY COMPANY,ERIE,2.68,3.09
ERIE,ERIE INDEMNITY COMPANY,29530P102,Momentum Analyzer V1.0,BUY,$70.63 ,19-Jun-12,SHORT,$73.70 ,18-Nov-11,172.96%,4.17%,100.00pp,100.00pp,$67.87 ,$192.79 ,N,30-Jan-17,5,50.00%,100.00%,3,56,25-Jun-99,2.68,3.09,THE TRAVELERS COMPANIES INC.,TRV,2.75,3.21,ERIE INDEMNITY COMPANY,ERIE,2.68,3.09
ERJ,EMBRAER SA (ADR),29082A107,Trend Analyzer V3.1,BUY,$26.57 ,17-Oct-11,SHORT,$40.55 ,31-Jan-07,24.42%,34.48%,100.00pp,100.00pp,$27.64 ,$33.06 ,N,9-May-14,20,100.00%,100.00%,3,31,28-Jun-05,2.76,2.29,LOCKHEED MARTIN CORP.,LMT,2.82,3.4,EMBRAER SA (ADR),ERJ,2.76,2.29
ERJ,EMBRAER SA (ADR),29082A107,Momentum Analyzer V1.0,BUY,$38.53 ,23-Sep-05,SHORT,$41.25 ,17-Apr-01,13.82%,6.59%,100.00pp,100.00pp,$27.64 ,$43.86 ,N,12-Oct-09,10,50.00%,100.00%,3,49,16-Feb-01,2.76,2.29,LOCKHEED MARTIN CORP.,LMT,2.82,3.4,EMBRAER SA (ADR),ERJ,2.76,2.29
EROC,EAGLE ROCK ENERGY PARTNERS L.P.,26985R104,Trend Analyzer V3.1,BUY,$10.02 ,24-Oct-12,SHORT,$10.53 ,22-Mar-12,7.86%,-46.35%,105.20pp,345.16pp,$8.60 ,$10.81 ,N,18-Jul-13,15,66.67%,66.67%,6,9,15-Sep-08,2.15,3.53,DEVON ENERGY CORPORATION,DVN,3.13,3.39,CIMAREX ENERGY CO.,XEC,3.01,3.02
EROC,EAGLE ROCK ENERGY PARTNERS L.P.,26985R104,Momentum Analyzer V1.0,SHORT,$8.94 ,6-Jan-11,BUY,$5.95 ,5-Jan-10,50.25%,65.57%,100.00pp,100.00pp,$8.60 ,$3.08 ,N,24-Jul-12,5,100.00%,100.00%,3,19,13-Jun-08,2.15,3.53,DEVON ENERGY CORPORATION,DVN,3.13,3.39,CIMAREX ENERGY CO.,XEC,3.01,3.02
ESE,ESCO TECHNOLOGIES INC.,296315104,Trend Analyzer V3.1,SHORT,$33.37 ,20-Sep-10,BUY,$8.13 ,14-Jan-02,310.46%,-100.00%,100.00pp,NaNpp,$36.74 ,$66.74 ,Y,22-Jul-15,10,100.00%,0.00%,3,59,4-Nov-98,2.59,3.44,ROPER INDUSTRIES INC.,ROP,2.71,1.47,PALL CORPORATION,PLL,2.69,1.54
ESE,ESCO TECHNOLOGIES INC.,296315104,Momentum Analyzer V1.0,BUY,$39.31 ,7-Aug-09,SHORT,$43.01 ,13-Mar-08,254.87%,8.60%,100.00pp,100.00pp,$36.74 ,$139.50 ,N,10-Jul-12,15,50.00%,100.00%,3,36,3-Jun-04,2.59,3.44,ROPER INDUSTRIES INC.,ROP,2.71,1.47,PALL CORPORATION,PLL,2.69,1.54
ESGR,ENSTAR GROUP LTD.,29358R107,Trend Analyzer V3.1,BUY,$106.00 ,30-Jan-08,HOLD,$82.76 ,27-Jun-06,107.00%,-43.28%,100.00pp,126.79pp,$103.78 ,$219.42 ,N,5-Oct-10,10,100.00%,50.00%,4,33,9-Jul-02,2.96,3.44,AXIS CAPITAL HOLDINGS LTD.,AXS,3.21,2.98,ENSTAR GROUP LTD.,ESGR,2.96,3.44
ESGR,ENSTAR GROUP LTD.,29358R107,Momentum Analyzer V1.0,BUY,$100.54 ,17-Jun-11,SHORT,$114.06 ,10-Dec-07,62.34%,-100.00%,144.10pp,NaNpp,$103.78 ,$163.21 ,N,7-Oct-13,5,100.00%,50.00%,5,28,21-Sep-01,2.96,3.44,AXIS CAPITAL HOLDINGS LTD.,AXS,3.21,2.98,ENSTAR GROUP LTD.,ESGR,2.96,3.44
ESI,ITT EDUCATIONAL SERVICES INC.,45068B109,Trend Analyzer V3.1,SHORT,$85.25 ,6-Jul-11,SHORT,$104.35 ,7-Aug-07,64.28%,-100.00%,207.24pp,NaNpp,$17.06 ,$170.50 ,Y,1-Aug-13,10,66.67%,50.00%,7,25,4-Nov-98,3.23,4.79,STRAYER EDUCATION INC,STRA,3.45,2.43,APOLLO GROUP INC,APOL,3.36,4.84
ESI,ITT EDUCATIONAL SERVICES INC.,45068B109,Momentum Analyzer V1.0,SHORT,$60.04 ,21-May-12,SHORT,$91.37 ,22-Jun-10,37.27%,-100.00%,167.33pp,NaNpp,$17.06 ,$120.08 ,Y,31-Dec-13,5,80.00%,60.00%,10,20,1-Apr-97,3.23,4.79,STRAYER EDUCATION INC,STRA,3.45,2.43,APOLLO GROUP INC,APOL,3.36,4.84
ESIO,ELECTRO SCIENTIFIC INDUSTRIES INC.,285229100,Trend Analyzer V3.1,BUY,$11.34 ,20-Sep-10,SHORT,$20.59 ,6-Aug-07,12.47%,-100.00%,120.11pp,NaNpp,$9.66 ,$12.75 ,N,15-Aug-13,10,33.33%,50.00%,5,35,3-Nov-98,2.64,3.35,APPLIED MATERIALS INC.,AMAT,3.03,3.26,CYBEROPTICS CORPORATION,CYBE,2.84,4.7
ESIO,ELECTRO SCIENTIFIC INDUSTRIES INC.,285229100,Momentum Analyzer V1.0,BUY,$15.28 ,16-Sep-08,SHORT,$21.82 ,22-Feb-07,28.34%,-100.00%,148.28pp,NaNpp,$9.66 ,$19.61 ,N,25-Sep-10,15,25.00%,75.00%,8,25,14-Mar-97,2.64,3.35,APPLIED MATERIALS INC.,AMAT,3.03,3.26,CYBEROPTICS CORPORATION,CYBE,2.84,4.7
ESL,ESTERLINE TECHNOLOGIES CORPORATION,297425100,Trend Analyzer V3.1,SHORT,$54.95 ,10-May-10,BUY,$37.66 ,25-Oct-06,45.91%,11.80%,100.00pp,100.00pp,$63.91 ,$48.46 ,N,13-Nov-12,15,100.00%,50.00%,3,31,17-Aug-05,2.85,3.75,ESTERLINE TECH. CORP.,ESL,2.85,3.75,HEICO CORPORATION,HEI,2.84,1.37
ESL,ESTERLINE TECHNOLOGIES CORPORATION,297425100,Momentum Analyzer V1.0,BUY,$69.63 ,4-Aug-11,HOLD,$55.83 ,27-Apr-10,81.21%,-10.83%,108.21pp,114.99pp,$63.91 ,$126.17 ,N,3-Nov-13,10,75.00%,33.33%,7,27,14-Aug-97,2.85,3.75,ESTERLINE TECH. CORP.,ESL,2.85,3.75,HEICO CORPORATION,HEI,2.84,1.37
ESLT,ELBIT SYSTEMS LTD. (USA),M3760D101,Trend Analyzer V3.1,BUY,$30.72 ,5-Sep-12,SHORT,$37.45 ,13-Apr-12,9.10%,-35.28%,127.23pp,183.55pp,$39.69 ,$33.51 ,Y,17-Apr-14,5,80.00%,50.00%,9,20,27-Oct-98,2.49,3.98,ROCKWELL COLLINS INC.,COL,3.06,2.03,FLIR SYSTEMS INC.,FLIR,3.01,3.15
ESLT,ELBIT SYSTEMS LTD. (USA),M3760D101,Momentum Analyzer V1.0,SHORT,$51.32 ,15-Dec-10,HOLD,$37.49 ,2-Dec-08,38.57%,-47.35%,101.23pp,137.09pp,$39.69 ,$75.62 ,Y,1-Dec-13,15,66.67%,0.00%,5,36,14-Jul-98,2.49,3.98,ROCKWELL COLLINS INC.,COL,3.06,2.03,FLIR SYSTEMS INC.,FLIR,3.01,3.15
ESMC,ESCALON MEDICAL CORP.,296074305,Trend Analyzer V3.1,BUY,$1.01 ,10-Apr-12,SHORT,$1.58 ,24-Jun-10,78.31%,40.56%,151.56pp,110.57pp,$0.95 ,$1.80 ,N,30-Nov-13,5,60.00%,100.00%,9,20,6-Aug-98,2.61,3.84,ST. JUDE MEDICAL INC.,STJ,3.14,3.69,MEDTRONIC INC.,MDT,3.02,3.34
ESMC,ESCALON MEDICAL CORP.,296074305,Momentum Analyzer V1.0,BUY,$0.85 ,23-May-12,SHORT,$0.90 ,11-Apr-12,35.24%,37.12%,330.60pp,129.91pp,$0.95 ,$1.15 ,N,14-Aug-14,15,66.67%,100.00%,5,27,15-Feb-02,2.61,3.84,ST. JUDE MEDICAL INC.,STJ,3.14,3.69,MEDTRONIC INC.,MDT,3.02,3.34
ESV,ENSCO PLC,00B4VLR19,Trend Analyzer V3.1,BUY,$23.39 ,9-Mar-09,SHORT,$53.19 ,19-Mar-07,102.09%,41.74%,100.00pp,110.08pp,$59.20 ,$47.27 ,Y,13-Mar-12,25,100.00%,100.00%,4,37,27-Mar-01,2.86,2.71,DIAMOND OFFSHORE DRILLING INC.,DO,2.91,2.88,ATWOOD OCEANICS INC.,ATW,2.9,2.97
ESV,ENSCO PLC,00B4VLR19,Momentum Analyzer V1.0,SHORT,$40.41 ,28-Jan-10,BUY,$33.27 ,10-Oct-08,39.75%,-25.02%,135.84pp,149.17pp,$59.20 ,$50.52 ,N,28-Feb-12,10,75.00%,0.00%,7,25,5-Oct-98,2.86,2.71,DIAMOND OFFSHORE DRILLING INC.,DO,2.91,2.88,ATWOOD OCEANICS INC.,ATW,2.9,2.97
ETE,ENERGY TRANSFER EQUITY L.P.,29273V100,Trend Analyzer V3.1,SHORT,$44.94 ,12-Nov-12,BUY,$39.93 ,19-Jun-12,4.92%,-6.23%,113.16pp,114.72pp,$45.76 ,$47.74 ,Y,16-May-13,10,57.14%,16.67%,13,6,26-Jul-06,1.97,2.19,WESTERN GAS PARTNERS LP,WES,2.98,2.36,TARGA RESOURCES CORP,TRGP,2.65,3.31
ETE,ENERGY TRANSFER EQUITY L.P.,29273V100,Momentum Analyzer V1.0,BUY,$36.95 ,30-May-12,HOLD,$30.23 ,14-Oct-09,42.59%,1.93%,100.00pp,131.06pp,$45.76 ,$52.69 ,N,22-Aug-13,15,100.00%,50.00%,4,15,7-Mar-08,1.97,2.19,WESTERN GAS PARTNERS LP,WES,2.98,2.36,TARGA RESOURCES CORP,TRGP,2.65,3.31
ETH,ETHAN ALLEN INTERIORS INC.,297602104,Trend Analyzer V3.1,BUY,$23.99 ,19-Sep-12,BUY,$19.19 ,13-Jul-11,-14.42%,-6.10%,145.82pp,117.83pp,$25.27 ,$20.53 ,Y,30-Dec-14,15,66.67%,66.67%,6,28,30-Aug-99,2.66,2.72,BASSETT FURNITURE INDUSTRIES INC.,BSET,2.82,4.91,LA-Z-BOY INCORPORATED,LZB,2.7,4.03
ETH,ETHAN ALLEN INTERIORS INC.,297602104,Momentum Analyzer V1.0,SHORT,$19.38 ,15-Dec-10,BUY,$13.17 ,3-Apr-09,10.26%,13.24%,133.47pp,138.90pp,$25.27 ,$16.82 ,N,25-Sep-13,15,66.67%,50.00%,5,34,7-Jun-99,2.66,2.72,BASSETT FURNITURE INDUSTRIES INC.,BSET,2.82,4.91,LA-Z-BOY INCORPORATED,LZB,2.7,4.03
ETP,ENERGY TRANSFER PARTNERS LP,29273R109,Trend Analyzer V3.1,BUY,$46.22 ,11-Oct-06,HOLD,$43.01 ,19-May-06,536.24%,-12.66%,100.00pp,105.95pp,$43.16 ,$294.07 ,N,29-May-10,5,100.00%,50.00%,4,44,28-Oct-98,2.25,3.35,WILLIAMS PARTNERS L.P.,WPZ,2.81,2.93,COPANO ENERGY L.L.C.,CPNO,2.64,3.36
ETP,ENERGY TRANSFER PARTNERS LP,29273R109,Momentum Analyzer V1.0,SHORT,$46.59 ,21-Jul-11,BUY,$44.47 ,22-Dec-09,39.72%,-47.29%,182.11pp,215.79pp,$43.16 ,$68.62 ,Y,1-Feb-13,15,75.00%,50.00%,8,19,4-Jan-01,2.25,3.35,WILLIAMS PARTNERS L.P.,WPZ,2.81,2.93,COPANO ENERGY L.L.C.,CPNO,2.64,3.36
ETR,ENTERGY CORPORATION,29364G103,Trend Analyzer V3.1,SHORT,$65.65 ,20-Apr-12,SHORT,$76.75 ,20-Sep-10,19.54%,-100.00%,133.73pp,NaNpp,$64.37 ,$131.30 ,Y,20-Sep-14,10,66.67%,66.67%,6,29,4-Nov-98,2.83,4.07,ENTERGY CORPORATION,ETR,2.83,4.07,EL PASO ELECTRIC COMPANY,EE,2.66,3.81
ETR,ENTERGY CORPORATION,29364G103,Momentum Analyzer V1.0,BUY,$68.48 ,21-Oct-11,SHORT,$112.70 ,4-Oct-07,66.28%,5.48%,140.56pp,132.01pp,$64.37 ,$113.87 ,N,4-Apr-14,15,66.67%,50.00%,5,30,11-Jan-01,2.83,4.07,ENTERGY CORPORATION,ETR,2.83,4.07,EL PASO ELECTRIC COMPANY,EE,2.66,3.81
EV,EATON VANCE CORP,278265103,Trend Analyzer V3.1,SHORT,$29.41 ,19-Sep-12,BUY,$28.56 ,13-Jul-11,18.99%,31.67%,115.55pp,100.00pp,$32.53 ,$20.09 ,N,20-Apr-14,15,100.00%,50.00%,4,19,25-Oct-06,-1,-1,,,-1,-1,,,-1,-1
EV,EATON VANCE CORP,278265103,Momentum Analyzer V1.0,SHORT,$33.35 ,26-Apr-11,BUY,$29.51 ,2-Feb-10,63.95%,-100.00%,172.29pp,NaNpp,$32.53 ,$66.70 ,Y,11-Apr-13,5,100.00%,50.00%,8,24,12-Sep-97,-1,-1,,,-1,-1,,,-1,-1
EVC,ENTRAVISION COMMUNICATION,29382R107,Trend Analyzer V3.1,BUY,$2.68 ,25-Mar-10,SHORT,$7.30 ,19-Nov-07,2.86%,31.24%,104.55pp,124.42pp,$1.63 ,$2.76 ,N,1-Apr-12,15,33.33%,100.00%,5,25,13-Feb-03,2.48,4.22,THE WALT DISNEY COMPANY,DIS,2.69,1.83,FISHER COMMUNICATIONS INC.,FSCI,2.6,3.61
EVC,ENTRAVISION COMMUNICATION,29382R107,Momentum Analyzer V1.0,SHORT,$0.20 ,11-Mar-09,SHORT,$7.72 ,12-Sep-06,-97.41%,54.99%,100.00pp,100.00pp,$1.63 ,$0.09 ,N,25-Oct-12,15,0.00%,50.00%,3,44,15-May-02,2.48,4.22,THE WALT DISNEY COMPANY,DIS,2.69,1.83,FISHER COMMUNICATIONS INC.,FSCI,2.6,3.61
EVEP,EV ENERGY PARTNERS L.P.,26926V107,Trend Analyzer V3.1,SHORT,$50.80 ,2-Jul-12,HOLD,$23.68 ,5-Oct-09,31.59%,2.38%,147.35pp,135.30pp,$56.27 ,$49.59 ,N,16-Apr-13,5,66.67%,50.00%,7,10,6-Aug-07,2.58,2.2,CIMAREX ENERGY CO.,XEC,3.08,3.74,PANHANDLE OIL AND GAS INC.,PHX,2.89,2.52
EVEP,EV ENERGY PARTNERS L.P.,26926V107,Momentum Analyzer V1.0,SHORT,$30.95 ,2-Mar-10,BUY,$19.00 ,30-Sep-08,62.89%,47.60%,100.00pp,100.00pp,$56.27 ,$16.22 ,N,17-Dec-11,5,100.00%,50.00%,3,22,26-Sep-07,2.58,2.2,CIMAREX ENERGY CO.,XEC,3.08,3.74,PANHANDLE OIL AND GAS INC.,PHX,2.89,2.52
EVOL,EVOLVING SYSTEMS INC.,30349R209,Trend Analyzer V3.1,SHORT,$6.30 ,13-Jan-10,HOLD,$5.99 ,25-Aug-09,6.14%,29.82%,414.41pp,130.47pp,$6.14 ,$4.42 ,N,31-Mar-12,5,33.33%,33.33%,6,27,14-Jan-00,2.56,3.34,ORACLE CORPORATION,ORCL,3.1,1.3,SYNCHRONOSS TECH. INC.,SNCR,2.97,1.46
EVOL,EVOLVING SYSTEMS INC.,30349R209,Momentum Analyzer V1.0,SHORT,$6.88 ,31-Oct-12,BUY,$6.66 ,12-Aug-10,3.30%,-32.14%,100.00pp,100.00pp,$6.14 ,$9.09 ,Y,11-Jan-14,10,50.00%,0.00%,3,15,23-Jun-09,2.56,3.34,ORACLE CORPORATION,ORCL,3.1,1.3,SYNCHRONOSS TECH. INC.,SNCR,2.97,1.46
EVR,EVERCORE PARTNERS INC.,29971A105,Trend Analyzer V3.1,BUY,$23.76 ,17-Oct-11,SHORT,$35.69 ,25-May-11,-3.95%,-16.75%,145.77pp,168.47pp,$29.48 ,$22.82 ,Y,10-May-12,10,60.00%,60.00%,10,7,27-Jun-07,2.36,3.14,BLACKROCK INC.,BLK,3.02,2.85,PAULSON CAPITAL CORP.,PLCC,3.02,4.88
EVR,EVERCORE PARTNERS INC.,29971A105,Momentum Analyzer V1.0,SHORT,$34.20 ,25-Jan-11,BUY,$31.75 ,18-Apr-07,7.72%,0.16%,100.00pp,100.00pp,$29.48 ,$34.15 ,Y,20-Jan-13,5,100.00%,100.00%,3,24,27-Feb-07,2.36,3.14,BLACKROCK INC.,BLK,3.02,2.85,PAULSON CAPITAL CORP.,PLCC,3.02,4.88
EW,EDWARDS LIFESCIENCES CORP,2.82E+112,Trend Analyzer V3.1,BUY,$71.09 ,21-Mar-12,SHORT,$86.01 ,6-Jun-11,243.49%,17.35%,100.00pp,100.00pp,$91.79 ,$244.19 ,N,31-Jan-14,10,100.00%,100.00%,3,23,9-Jul-07,2.74,1.22,ST. JUDE MEDICAL INC.,STJ,3.31,3.35,MEDTRONIC INC.,MDT,3.16,2.69
